Gemeindename;BFS-Nr;Kantonskürzel;E;N;;;;;;Steuerfuss;;;;Vermögenssteuer;;;;
;;;;;Kantons-Id;Kanton;BfS-Id;Gemeinde;Kanton;Gemeinde;Kirche ref.;Kirche röm.-kt.;Kirche christkt.;Kanton;Gemeinde;Kirche ref.;Kirche röm.-kt.;Kirche christkt.
Aeugst am Albis;1;ZH;8.487911353897033;47.26870659372531;1;ZH;1;Aeugst am Albis;99;95;12;13;14;99;95;12;13;14
Affoltern am Albis;2;ZH;8.433816382206734;47.289571911025355;1;ZH;2;Affoltern am Albis;99;124;12;13;14;99;124;12;13;14
Bonstetten;3;ZH;8.462510333365264;47.31603645328917;1;ZH;3;Bonstetten;99;109;12;11;14;99;109;12;11;14
Hausen am Albis;4;ZH;8.575173951552003;47.221166984565386;1;ZH;4;Hausen am Albis;99;112;12;14;14;99;112;12;14;14
Hedingen;5;ZH;8.450402732204708;47.30233830626068;1;ZH;5;Hedingen;99;100;12;13;14;99;100;12;13;14
Kappel am Albis;6;ZH;8.518401270269894;47.22850464577662;1;ZH;6;Kappel am Albis;99;102;14;14;14;99;102;14;14;14
Knonau;7;ZH;8.463070514;47.22429179177682;1;ZH;7;Knonau;99;116;14;14;14;99;116;14;14;14
Maschwanden;8;ZH;8.430865808186903;47.23566580708591;1;ZH;8;Maschwanden;99;130;12;14;14;99;130;12;14;14
Mettmenstetten;9;ZH;8.466212301;47.24873640804126;1;ZH;9;Mettmenstetten;99;98;12;14;14;99;98;12;14;14
Obfelden;10;ZH;8.438566231;47.27137607268962;1;ZH;10;Obfelden;99;121;12;13;14;99;121;12;13;14
Ottenbach;11;ZH;8.40857484;47.281075031184635;1;ZH;11;Ottenbach;99;117;12;13;14;99;117;12;13;14
Rifferswil;12;ZH;8.49488718;47.245500570347204;1;ZH;12;Rifferswil;99;122;12;14;14;99;122;12;14;14
Stallikon;13;ZH;8.505877599121481;47.312105292377176;1;ZH;13;Stallikon;99;101;11;11;14;99;101;11;11;14
Wettswil am Albis;14;ZH;8.470612514895661;47.33740220379512;1;ZH;14;Wettswil am Albis;99;89;11;11;14;99;89;11;11;14
Benken (ZH);22;ZH;8.654666544;47.65377796453926;1;ZH;22;Benken (ZH);99;110;14;14;14;99;110;14;14;14
Berg am Irchel;23;ZH;8.585741053409775;47.562975248392306;1;ZH;23;Berg am Irchel;99;98;12;13;14;99;98;12;13;14
Buch am Irchel;24;ZH;8.625154489270875;47.55047880740978;1;ZH;24;Buch am Irchel;99;106;12;13;14;99;106;12;13;14
Dachsen;25;ZH;8.624375293;47.66174994439217;1;ZH;25;Dachsen;99;112;12;14;14;99;112;12;14;14
Dorf;26;ZH;8.649329747554424;47.57127196518884;1;ZH;26;Dorf;99;109;14;13;14;99;109;14;13;14
Feuerthalen;27;ZH;8.644166019703103;47.68902348210105;1;ZH;27;Feuerthalen;99;114;13;14;14;99;114;13;14;14
Flaach;28;ZH;8.601940328074585;47.58340200103113;1;ZH;28;Flaach;99;107;12;13;14;99;107;12;13;14
Flurlingen;29;ZH;8.635510082795259;47.68360382819433;1;ZH;29;Flurlingen;99;112;12;14;14;99;112;12;14;14
Henggart;31;ZH;8.680830542009392;47.56038766434141;1;ZH;31;Henggart;99;102;14;13;14;99;102;14;13;14
Kleinandelfingen;33;ZH;8.684949094724566;47.60679239080899;1;ZH;33;Kleinandelfingen;99;112;12;14;14;99;112;12;14;14
Laufen-Uhwiesen;34;ZH;8.610294829300658;47.66327005774497;1;ZH;34;Laufen-Uhwiesen;99;104;12;14;14;99;104;12;14;14
